"","total_vaccinated","people_vaccinated","people_fully_vaccinated","maTotal","maPeople_vaccinated","maPeople_fully_vaccinated","date"
"51",24280,6654,17626,19214.5714285714,6916.71428571429,12297.8571428571,2021-06-04
"52",24468,5418,19050,16452,4122.85714285714,12329.1428571429,2021-06-05
"53",11406,3625,7781,17224.8571428571,4244.71428571429,12980.1428571429,2021-06-06
"54",6537,3440,3097,17264.4285714286,4406.57142857143,12857.8571428571,2021-06-07
"55",17424,4587,12837,17445.4285714286,4905.85714285714,12539.5714285714,2021-06-08
"56",16968,2993,13975,16637.2857142857,4723.42857142857,11913.8571428571,2021-06-09
"57",19768,4129,15639,16389.8571428571,4336.42857142857,12053.4285714286,2021-06-10
"58",25547,10149,15398,15808.5714285714,3860.57142857143,11948,2021-06-11
"59",18811,4141,14670,14929.7142857143,3752.42857142857,11177.2857142857,2021-06-12
"60",9674,916,8758,12505.7142857143,3324.85714285714,9180.85714285714,2021-06-13
"61",2468,109,2359,11427.2857142857,3008.42857142857,8418.85714285714,2021-06-14
"62",11272,3830,7442,14747.7142857143,4850.71428571429,9897,2021-06-15
"63",0,0,0,15737.7142857143,5851,9886.71428571429,2021-06-16
"64",12219,1914,10305,14355.7142857143,5720.14285714286,8635.57142857143,2021-06-17
"65",48790,23045,25745,18761.1428571429,9533.42857142857,9227.71428571429,2021-06-18
"66",25741,11143,14598,20928.4285714286,11515.5714285714,9412.85714285714,2021-06-19
"67",0,0,0,20928.4285714286,11515.5714285714,9412.85714285714,2021-06-20
"68",33306,26802,6504,30558.8571428571,19174.2857142857,11384.5714285714,2021-06-21
"69",26443,17705,8738,28410.2857142857,18057,10353.2857142857,2021-06-22
"70",0,0,0,28521.8571428571,18668.2857142857,9853.57142857143,2021-06-23
"71",79632,55525,24107,28521.8571428571,18668.2857142857,9853.57142857143,2021-06-24
"72",33750,15224,18526,24869,15098,9771,2021-06-25
"73",26522,15422,11100,27381,16834.4285714286,10546.5714285714,2021-06-26
"74",0,0,0,29830.8571428571,17491.5714285714,12339.2857142857,2021-06-27
"75",7736,1810,5926,18454.8571428571,9559.42857142857,8895.42857142857,2021-06-28
"76",44027,29860,14167,18277.8571428571,9077.71428571429,9200.14285714286,2021-06-29
"77",17149,4600,12549,14489,6874.57142857143,7614.42857142857,2021-06-30
"78",0,0,0,17448,8343.85714285714,9104.14285714286,2021-07-01
"79",32511,11852,20659,17320.5714285714,8780.57142857143,8540,2021-07-02
"80",0,0,0,13126.8571428571,5776.71428571429,7350.14285714286,2021-07-03
"81",20713,10285,10428,10677,5119.57142857143,5557.42857142857,2021-07-04
"82",6844,4867,1977,18439.5714285714,9962.14285714286,8477.42857142857,2021-07-05
"83",14671,8833,5838,17507.7142857143,10505.5714285714,7002.14285714286,2021-07-06
"84",0,0,0,17507.7142857143,10505.5714285714,7002.14285714286,2021-07-07
"85",54338,33898,20440,18243,11319.5714285714,6923.42857142857,2021-07-08
"86",25988,15656,10332,18468.8571428571,11078,7390.85714285714,2021-07-09
"87",0,0,0,18021.5714285714,10560.8571428571,7460.71428571429,2021-07-10
"88",25860,15983,9877,18021.5714285714,10560.8571428571,7460.71428571429,2021-07-11
"89",8425,3176,5249,14637.2857142857,6831.57142857143,7805.71428571429,2021-07-12
"90",11540,5213,6327,16260.4285714286,6002.42857142857,10258,2021-07-13
"91",0,0,0,16260.4285714286,6002.42857142857,10258,2021-07-14
"92",30648,7793,22855,16967.4285714286,4106.57142857143,12860.8571428571,2021-07-15
"93",37350,9852,27498,16404.1428571429,3752.14285714286,12652,2021-07-16
"94",0,0,0,17469.7142857143,3744.42857142857,13725.2857142857,2021-07-17
"95",30809,2712,28097,21657.4285714286,4214.14285714286,17443.2857142857,2021-07-18
"96",4482,695,3787,21841.5714285714,3347.85714285714,18493.7142857143,2021-07-19
"97",18999,5159,13840,16505.8571428571,1940.42857142857,14565.4285714286,2021-07-20
"98",29314,3288,26026,20641,1995.14285714286,18645.8571428571,2021-07-21
"99",31937,1729,30208,16239.7142857143,1607.71428571429,14632,2021-07-22
"100",0,0,0,16202.2857142857,1550.28571428571,14652,2021-07-23
"101",28946,383,28563,16046.5714285714,2026.28571428571,14020.2857142857,2021-07-24
"102",0,0,0,14762.8571428571,3290.42857142857,11472.4285714286,2021-07-25
"103",4220,293,3927,15033.5714285714,6836,8197.57142857143,2021-07-26
"104",17909,8491,9418,18832.7142857143,9748.85714285714,9083.85714285714,2021-07-27
"105",20328,12137,8191,20231.7142857143,14446.1428571429,5785.57142857143,2021-07-28
"106",33832,26548,7284,22841.8571428571,16799.4285714286,6042.42857142857,2021-07-29
"107",26594,20390,6204,41737.4285714286,18259.5714285714,23477.8571428571,2021-07-30
"108",38739,33264,5475,39179,17046.5714285714,22132.4285714286,2021-07-31
"109",18271,16473,1798,54579.5714285714,23467.4285714286,31112.1428571429,2021-08-01
"110",136489,10514,125975,58437.8571428571,23562.1428571429,34875.7142857143,2021-08-02
"111",0,0,0,69332.1428571429,26570.4285714286,42761.7142857143,2021-08-03
"112",128132,57083,71049,77405,28327,49078,2021-08-04
"113",60840,27211,33629,74794.8571428571,25973.7142857143,48821.1428571429,2021-08-05
"114",102854,41448,61406,61896.8571428571,28128.7142857143,33768.1428571429,2021-08-06
"115",95249,45560,49689,61896.8571428571,28128.7142857143,33768.1428571429,2021-08-07
"116",0,0,0,43592.2857142857,19974,23618.2857142857,2021-08-08
"117",46203,25599,20604,70778.4285714286,35778.2857142857,35000.1428571429,2021-08-09
"118",0,0,0,77190.2857142857,41269.2857142857,35921,2021-08-10
"119",0,0,0,77742.4285714286,43072.8571428571,34669.5714285714,2021-08-11
"120",251143,137841,113302,86537.4285714286,48379.2857142857,38158.1428571429,2021-08-12
"121",147737,79885,67852,83718.4285714286,47151.4285714286,36567,2021-08-13
"122",99114,58185,40929,92415.1428571429,52804,39611.1428571429,2021-08-14
"123",61565,37145,24420,92415.1428571429,52804,39611.1428571429,2021-08-15
"124",26470,17004,9466,87226.4285714286,54290.2857142857,32936.1428571429,2021-08-16
"125",60877,39568,21309,85755.8571428571,56382.5714285714,29373.2857142857,2021-08-17
"126",0,0,0,84091,56774.8571428571,27316.1428571429,2021-08-18
"127",214822,148245,66577,84862.4285714286,58542.5714285714,26319.8571428571,2021-08-19
"128",137443,94531,42912,84653,59124.4285714286,25528.5714285714,2021-08-20
"129",87460,60931,26529,86755.4285714286,61673.5714285714,25081.8571428571,2021-08-21
"130",66965,49519,17446,95731.2857142857,68381.8571428571,27349.4285714286,2021-08-22
"131",25004,21077,3927,65042.4285714286,47204,17838.4285714286,2021-08-23
"132",75594,57412,18182,54524.1428571429,39896.8571428571,14627.2857142857,2021-08-24
"133",62831,46958,15873,61172.1428571429,45168,16004.1428571429,2021-08-25
"134",0,0,0,58308.5714285714,42445.5714285714,15863,2021-08-26
"135",63815,43381,20434,57994.1428571429,41331.2857142857,16662.8571428571,2021-08-27
"136",133996,97829,36167,51981.5714285714,36488.4285714286,15493.1428571429,2021-08-28
"137",46920,30462,16458,48754.4285714286,34197.5714285714,14556.8571428571,2021-08-29
"138",22803,13277,9526,54551.8571428571,38395.2857142857,16156.5714285714,2021-08-30
"139",33506,23512,9994,50406.4285714286,35876.8571428571,14529.5714285714,2021-08-31
"140",40241,30922,9319,33385.5714285714,23056.8571428571,10328.7142857143,2021-09-01
"141",40582,29384,11198,26682.7142857143,18705.1428571429,7977.57142857143,2021-09-02
"142",34797,25752,9045,25417.4285714286,17903.4285714286,7514,2021-09-03
"143",14850,8089,6761,23461,16646.7142857143,6814.28571428571,2021-09-04
"144",0,0,0,17712.2857142857,12229.2857142857,5483,2021-09-05
"145",13946,7665,6281,18462.8571428571,13959.8571428571,4503,2021-09-06
"146",19811,14715,5096,19910.2857142857,14814.4285714286,5095.85714285714,2021-09-07
"147",0,0,0,20335.7142857143,16136.5714285714,4199.14285714286,2021-09-08
"148",45836,41498,4338,21342.4285714286,16979.7142857143,4362.71428571429,2021-09-09
"149",44929,31734,13195,20863.4285714286,16879.8571428571,3983.57142857143,2021-09-10
"150",17828,17344,484,20084.5714285714,16566.4285714286,3518.14285714286,2021-09-11
"151",7047,5902,1145,20084.5714285714,16566.4285714286,3518.14285714286,2021-09-12
"152",10593,6966,3627,25960.7142857143,19677.7142857143,6283,2021-09-13
"153",14359,12521,1838,18529,12671.4285714286,5857.57142857143,2021-09-14
"154",0,0,0,26446.2857142857,19697.4285714286,6748.85714285714,2021-09-15
"155",86969,63277,23692,27214.1428571429,20385.5714285714,6828.57142857143,2021-09-16
"156",-7093,-17310,10217,25700.8571428571,19390.4285714286,6310.42857142857,2021-09-17
"157",73249,66526,6723,27478.8571428571,20292.8571428571,7186,2021-09-18
"158",12422,10719,1703,33336.8571428571,24127.5714285714,9209.28571428571,2021-09-19
"159",0,0,0,28090,18632.8571428571,9457.14285714286,2021-09-20
"160",26805,18838,7967,29103.2857142857,21105.7142857143,7997.57142857143,2021-09-21
"161",41006,26843,14163,30898.2857142857,17499.4285714286,13398.8571428571,2021-09-22
"162",50241,24814,25427,30735.1428571429,16538.2857142857,14196.8571428571,2021-09-23
"163",0,0,0,33236.1428571429,18530.1428571429,14706,2021-09-24
"164",85814,41282,44532,29406.8571428571,15839,13567.8571428571,2021-09-25
"165",11280,3991,7289,29276.1428571429,14438.2857142857,14837.8571428571,2021-09-26
"166",17507,13943,3564,24682.5714285714,10893.4285714286,13789.1428571429,2021-09-27
"167",0,0,0,33881.4285714286,16245.5714285714,17635.8571428571,2021-09-28
"168",40091,17038,23053,21622.2857142857,10348.1428571429,11274.1428571429,2021-09-29
"169",18086,0,18086,26803.5714285714,12366.5714285714,14437,2021-09-30
"170",64392,37465,26927,26123.1428571429,11302.1428571429,14821,2021-10-01
"171",0,0,0,29004.1428571429,12716.1428571429,16288,2021-10-02
"172",47549,18120,29429,23276.8571428571,10282.1428571429,12994.7142857143,2021-10-03
