"","total_vaccinated","people_vaccinated","people_fully_vaccinated","maTotal","maPeople_vaccinated","maPeople_fully_vaccinated","date"
"343",37326,27503,9823,23478.4285714286,17945.5714285714,5532.85714285714,2022-03-23
"344",0,0,0,23478.4285714286,17945.5714285714,5532.85714285714,2022-03-24
"345",35424,22222,13202,17885.4285714286,12018.7142857143,5866.71428571429,2022-03-25
"346",0,0,0,15362.4285714286,9729.71428571429,5632.71428571429,2022-03-26
"347",0,0,0,13307.8571428571,7096.57142857143,6211.28571428571,2022-03-27
"348",25511,14984,10527,13307.8571428571,7096.57142857143,6211.28571428571,2022-03-28
"349",9276,3399,5877,15415.8571428571,6272.71428571429,9143.14285714286,2022-03-29
"350",22944,9071,13873,15415.8571428571,6272.71428571429,9143.14285714286,2022-03-30
"351",0,0,0,15415.8571428571,6272.71428571429,9143.14285714286,2022-03-31
"352",50180,16455,33725,11771.4285714286,4132.14285714286,7639.28571428571,2022-04-01
"353",0,0,0,20882.4285714286,7085.71428571429,13796.7142857143,2022-04-02
"354",0,0,0,21865.1428571429,6946.71428571429,14918.4285714286,2022-04-03
"355",0,0,0,28969,9107.42857142857,19861.5714285714,2022-04-04
"356",73053,24074,48979,21800.4285714286,6756.71428571429,15043.7142857143,2022-04-05
"357",29823,8098,21725,21800.4285714286,6756.71428571429,15043.7142857143,2022-04-06
"358",49727,15125,34602,21800.4285714286,6756.71428571429,15043.7142857143,2022-04-07
"359",0,0,0,39756.8571428571,13515.5714285714,26241.2857142857,2022-04-08
"360",0,0,0,29320.7142857143,10076.4285714286,19244.2857142857,2022-04-09
"361",0,0,0,32224.7142857143,11097.2857142857,21127.4285714286,2022-04-10
"362",125695,47312,78383,25120.8571428571,8936.57142857143,16184.2857142857,2022-04-11
"363",0,0,0,26481.8571428571,9134.57142857143,17347.2857142857,2022-04-12
"364",50151,15244,34907,26481.8571428571,9134.57142857143,17347.2857142857,2022-04-13
"365",0,0,0,26481.8571428571,9134.57142857143,17347.2857142857,2022-04-14
"366",9527,1386,8141,8723,2433.14285714286,6289.85714285714,2022-04-15
"367",0,0,0,8723,2433.14285714286,6289.85714285714,2022-04-16
"368",0,0,0,8017.57142857143,3237.42857142857,4780.14285714286,2022-04-17
"369",1383,402,981,8017.57142857143,3237.42857142857,4780.14285714286,2022-04-18
"370",0,0,0,6656.57142857143,3039.42857142857,3617.14285714286,2022-04-19
"371",45213,20874,24339,6656.57142857143,3039.42857142857,3617.14285714286,2022-04-20
"372",0,0,0,6656.57142857143,3039.42857142857,3617.14285714286,2022-04-21
"373",0,0,0,13031.1428571429,4025.42857142857,9005.71428571429,2022-04-22
"374",0,0,0,17641,4596.14285714286,13044.8571428571,2022-04-23
"375",0,0,0,11182,1614.14285714286,9567.85714285714,2022-04-24
"376",46005,7304,38701,11182,1614.14285714286,9567.85714285714,2022-04-25
"377",32269,3995,28274,11182,1614.14285714286,9567.85714285714,2022-04-26
"378",0,0,0,11182,1614.14285714286,9567.85714285714,2022-04-27
"379",0,0,0,11182,1614.14285714286,9567.85714285714,2022-04-28
"380",0,0,0,4609.85714285714,570.714285714286,4039.14285714286,2022-04-29
"381",0,0,0,14044.7142857143,2226.14285714286,11818.5714285714,2022-04-30
"382",0,0,0,15702.2857142857,2292.71428571429,13409.5714285714,2022-05-01
"383",0,0,0,NA,NA,NA,2022-05-02
"384",98313,15583,82730,NA,NA,NA,2022-05-03
"385",11603,466,11137,NA,NA,NA,2022-05-04
